episode,timestep,reward
106, 600, 0.5396
207, 1200, 0.5679
299, 1800, 0.6306
385, 2400, 0.6637
481, 3000, 0.7144
560, 3600, 0.7272
646, 4200, 0.6768
736, 4800, 0.6359
803, 5400, 0.8648
873, 6000, 0.8231
948, 6600, 0.762
1019, 7200, 0.8153
1072, 7800, 1.2804
1128, 8400, 1.0158
1179, 9000, 1.0939
1228, 9600, 1.2139
1274, 10200, 1.6664
1319, 10800, 1.2823
1365, 11400, 2.3073
1402, 12000, 1.8315
1444, 12600, 2.5788
1484, 13200, 1.4343
1524, 13800, 1.4288
1567, 14400, 1.5207
1610, 15000, 1.5502
1645, 15600, 3.3868
1686, 16200, 1.5832
1728, 16800, 1.8712
1759, 17400, 5.7027
1797, 18000, 2.3194
1824, 18600, 8.3664
1858, 19200, 3.8333
1895, 19800, 4.7756
1927, 20400, 8.6237
1958, 21000, 8.6863
1991, 21600, 9.4063
2025, 22200, 5.7904
2055, 22800, 8.994
2087, 23400, 8.3602
2126, 24000, 6.1448
2150, 24600, 13.8124
2176, 25200, 11.5448
2210, 25800, 8.7488
2248, 26400, 6.8365
2282, 27000, 3.4528
2322, 27600, 3.6945
2350, 28200, 13.503
2385, 28800, 8.2386
2412, 29400, 8.7523
2440, 30000, 12.1668
2465, 30600, 19.9605
2492, 31200, 17.4531
2523, 31800, 12.5185
2551, 32400, 15.3158
2578, 33000, 14.7245
2606, 33600, 16.8935
2631, 34200, 14.0297
2658, 34800, 17.3459
2684, 35400, 22.2943
2713, 36000, 17.2628
2741, 36600, 17.2055
2769, 37200, 11.7279
2790, 37800, 30.1119
2818, 38400, 24.7566
2844, 39000, 16.5411
2872, 39600, 22.1898
2900, 40200, 17.4564
2929, 40800, 18.701
2952, 41400, 21.4202
2978, 42000, 20.5196
3000, 42600, 26.3193
3027, 43200, 23.8412
3053, 43800, 22.6737
3079, 44400, 20.3708
3105, 45000, 20.0858
3127, 45600, 31.4223
3157, 46200, 19.315
3178, 46800, 37.1771
3202, 47400, 26.41
3225, 48000, 29.2022
3249, 48600, 26.578
3272, 49200, 29.719
3296, 49800, 31.8306
3317, 50400, 35.3411
3337, 51000, 41.2484
3359, 51600, 28.6258
3385, 52200, 22.048
3410, 52800, 21.1964
3439, 53400, 20.3993
3461, 54000, 27.8637
3483, 54600, 19.4986
3511, 55200, 18.9757
3536, 55800, 25.6871
3558, 56400, 35.2976
3579, 57000, 39.5665
3603, 57600, 24.303
3629, 58200, 21.5267
3654, 58800, 26.9193
3679, 59400, 30.5226
3702, 60000, 28.0174
3720, 60600, 45.7445
3746, 61200, 18.1097
3767, 61800, 32.3742
3789, 62400, 33.3432
3811, 63000, 27.7542
3834, 63600, 33.6329
3855, 64200, 36.1495
3879, 64800, 30.2696
3900, 65400, 30.0655
3925, 66000, 23.5356
3946, 66600, 34.4524
3968, 67200, 37.9175
3994, 67800, 29.3581
4017, 68400, 29.1416
4040, 69000, 27.8773
4064, 69600, 25.7836
4086, 70200, 34.7617
4107, 70800, 33.8855
4132, 71400, 20.7611
4158, 72000, 26.2506
4178, 72600, 35.5093
4200, 73200, 35.23
4219, 73800, 38.6302
4242, 74400, 30.5676
4262, 75000, 34.5787
4282, 75600, 33.9566
4305, 76200, 32.3461
4328, 76800, 29.7427
4353, 77400, 19.6361
4375, 78000, 32.391
4393, 78600, 47.9331
4416, 79200, 28.8791
4436, 79800, 32.5277
4457, 80400, 30.5593
4480, 81000, 34.0755
4502, 81600, 29.1667
4525, 82200, 32.4384
4547, 82800, 25.9182
4567, 83400, 36.738
4587, 84000, 34.7456
4606, 84600, 37.5136
4629, 85200, 27.9031
4652, 85800, 34.1353
4675, 86400, 30.6928
4696, 87000, 39.2264
4721, 87600, 26.911
4742, 88200, 38.7732
4764, 88800, 31.5685
4788, 89400, 37.2897
4813, 90000, 22.4467
4836, 90600, 25.1266
4860, 91200, 27.2078
4881, 91800, 34.4372
4903, 92400, 37.4178
4924, 93000, 32.589
4944, 93600, 46.2866
4967, 94200, 34.6004
4987, 94800, 39.6084
5009, 95400, 33.3372
5035, 96000, 20.7754
5057, 96600, 34.7894
5083, 97200, 24.7716
5104, 97800, 34.8651
5126, 98400, 30.6276
5149, 99000, 31.9231
5170, 99600, 41.7633
5193, 100200, 31.8824
5216, 100800, 34.0612
5240, 101400, 28.5937
5264, 102000, 31.719
5284, 102600, 41.2765
5304, 103200, 41.1224
5324, 103800, 46.8047
5344, 104400, 38.7304
5370, 105000, 28.5993
5391, 105600, 33.9081
5414, 106200, 34.4601
5437, 106800, 34.3676
5459, 107400, 37.0348
5482, 108000, 31.4925
5505, 108600, 33.5831
5527, 109200, 34.7526
5550, 109800, 31.1352
5574, 110400, 28.4162
5596, 111000, 35.1544
