timestep,episode,mean_reward
900,51,2.4333
1800,101,2.5440
2700,143,2.9833
3600,179,3.6502
4500,204,5.0300
5400,222,7.9132
6300,239,8.2724
7200,254,10.6010
8100,268,12.4148
9000,283,19.1137
9900,299,23.8867
10800,315,12.5955
11700,330,25.2043
12600,345,19.1755
13500,359,20.1511
14400,373,13.1568
15300,389,18.6449
16200,403,26.6671
17100,418,25.4984
18000,434,42.5485
18900,448,26.8428
19800,463,31.8674
20700,478,19.2388
21600,492,13.0664
22500,506,26.9256
23400,519,13.2645
24300,532,34.9931
25200,546,33.4976
26100,559,35.4678
27000,575,42.2092
27900,590,50.9386
28800,605,37.7040
29700,619,19.5062
30600,634,51.0796
31500,648,54.0347
32400,661,57.0275
33300,676,50.7310
34200,690,74.3498
35100,705,95.8096
36000,720,88.9792
36900,736,71.8139
37800,751,76.1579
38700,767,66.1999
39600,783,71.8019
40500,799,72.0268
41400,815,83.7756
42300,831,90.2234
43200,845,81.0528
44100,861,77.8588
45000,878,90.8398
45900,893,95.4065
46800,909,90.0800
47700,925,101.9380
48600,942,108.0327
49500,959,102.1772
50400,975,95.9312
51300,991,95.9868
52200,1007,108.3392
53100,1024,102.3162
54000,1041,90.5019
54900,1058,107.8060
55800,1074,102.2302
56700,1091,101.9844
57600,1107,102.2085
58500,1122,95.3859
59400,1139,96.4340
60300,1156,102.1952
61200,1173,96.3345
62100,1191,102.3043
63000,1208,107.6517
63900,1227,102.3394
64800,1246,91.6738
65700,1263,102.1984
66600,1281,85.7830
67500,1299,85.8234
68400,1317,96.8581
69300,1335,91.1679
70200,1350,89.0506
71100,1368,107.5815
72000,1384,83.8024
72900,1401,102.0244
73800,1420,81.6371
74700,1438,96.6434
75600,1455,78.7517
76500,1475,92.4826
77400,1493,85.6065
78300,1512,102.0993
79200,1529,90.6640
80100,1546,90.2001
81000,1565,107.3789
