timestep,episode,mean_reward
600,156,0.3736
1200,327,0.3424
1800,457,0.4451
2400,561,0.5698
3000,637,0.7561
3600,722,0.6832
4200,798,0.7577
4800,852,1.0704
5400,906,1.2622
6000,966,0.9603
6600,1019,3.1332
7200,1071,2.1102
7800,1110,2.7903
8400,1156,1.4374
9000,1205,1.1640
9600,1254,1.9922
10000,EVAL,54.3747
10200,1307,1.2726
10800,1346,4.1436
11400,1390,4.6941
12000,1432,3.5951
12600,1461,11.9351
13200,1499,6.5691
13800,1535,8.9112
14400,1563,10.8569
15000,1587,15.2185
15600,1606,30.9571
16200,1623,31.7610
16800,1646,25.1539
17400,1663,45.0992
18000,1679,30.6424
18600,1700,35.4030
19200,1717,29.5841
19800,1736,33.5603
20000,EVAL,58.4821
20400,1753,37.5673
21000,1770,42.2956
21600,1787,42.3403
22200,1803,40.2821
22800,1818,53.1193
23400,1832,51.7882
24000,1847,51.3650
24600,1866,35.5246
25200,1882,66.0929
25800,1900,45.3370
26400,1916,50.7097
27000,1934,44.7872
27600,1952,35.8576
28200,1966,65.6884
28800,1979,59.8285
29400,1991,61.4017
30000,2004,60.0522
30000,EVAL,109.5415
30600,2017,68.5704
31200,2029,66.8627
31800,2041,75.7436
32400,2053,73.9548
33000,2065,73.1569
33600,2078,76.7939
34200,2090,63.4969
34800,2104,48.2321
35400,2118,55.9494
36000,2133,65.4696
36600,2146,60.1717
37200,2159,58.2329
37800,2171,74.2028
38400,2182,84.6632
39000,2193,86.4912
39600,2207,64.9571
40000,EVAL,108.0252
40200,2218,74.8421
40800,2231,67.5580
41400,2243,77.6424
42000,2257,67.2066
42600,2271,62.2794
43200,2283,76.0367
43800,2296,63.3416
44400,2311,56.3644
45000,2321,92.6309
45600,2334,66.6074
46200,2347,71.7593
46800,2360,63.2338
47400,2370,91.0919
48000,2382,85.6613
48600,2392,82.4336
49200,2407,62.6669
49800,2421,67.7096
50000,EVAL,56.9677
50400,2434,64.7699
51000,2446,76.0936
51600,2458,69.6162
52200,2471,67.8079
52800,2484,66.1399
53400,2497,60.6478
54000,2510,79.7328
54600,2521,90.8416
55200,2532,101.2715
55800,2544,82.6988
56400,2556,64.0882
57000,2567,88.0051
57600,2580,75.9782
58200,2592,72.9137
58800,2603,77.9003
59400,2615,89.8481
60000,2625,100.0975
60000,EVAL,108.1047
60600,2638,73.8752
61200,2649,93.3536
61800,2662,80.2197
62400,2673,89.9699
63000,2686,75.2487
63600,2697,83.8757
64200,2711,70.2268
64800,2722,89.5832
65400,2732,86.8265
66000,2744,81.9697
66600,2757,82.4002
67200,2769,90.3526
67800,2784,61.0328
68400,2794,114.7690
69000,2804,94.9982
69600,2814,102.0317
70000,EVAL,54.3884
70200,2825,88.0427
70800,2839,69.1895
71400,2852,72.5148
72000,2865,75.1055
72600,2878,75.5331
73200,2889,68.0104
73800,2900,98.9563
74400,2913,80.1089
75000,2926,76.3214
75600,2940,66.7933
76200,2951,75.0039
76800,2961,95.3446
77400,2974,75.8904
78000,2986,89.5130
78600,2999,69.6584
79200,3011,85.9214
79800,3023,81.2424
80000,EVAL,111.4688
80400,3037,77.1664
81000,3049,80.0519
81600,3061,90.5739
82200,3074,77.6637
82800,3085,99.1556
83400,3097,74.0606
84000,3109,78.2693
84600,3120,97.3791
85200,3130,111.8337
85800,3142,72.2579
86400,3155,83.4092
87000,3166,76.7205
87600,3179,73.5831
88200,3191,99.5310
88800,3205,56.8220
89400,3217,69.5112
90000,3231,67.0186
90000,EVAL,107.0738
90600,3245,64.2037
91200,3258,75.7050
91800,3270,89.5883
92400,3284,81.2305
93000,3295,96.9864
93600,3308,71.6570
94200,3320,75.7865
94800,3330,106.3229
95400,3342,97.0117
96000,3355,65.0486
96600,3366,101.7791
97200,3379,88.3283
97800,3391,87.8804
98400,3403,89.9695
99000,3415,86.9752
99600,3427,87.8828
100000,EVAL,171.3405
100200,3439,95.4782
100800,3451,100.1320
101400,3467,63.3087
102000,3481,76.3848
102600,3494,75.2149
103200,3506,82.5813
103800,3520,69.8934
104400,3534,80.9009
105000,3546,85.1003
105600,3558,89.7366
106200,3570,92.7649
106800,3583,94.8848
107400,3595,77.3350
108000,3608,86.2971
108600,3619,79.4640
109200,3632,84.5075
109800,3644,81.3059
110000,EVAL,107.9885
110400,3656,86.3765
111000,3668,99.6953
111600,3681,80.8154
112200,3693,84.4698
112800,3706,89.6741
113400,3717,106.7475
114000,3730,84.0100
114600,3742,87.7951
115200,3752,95.6899
115800,3764,90.5958
116400,3774,95.6197
117000,3786,89.7203
117600,3796,102.1004
118200,3808,115.9992
118800,3820,97.8907
119400,3831,89.5549
120000,3843,97.2217
120000,EVAL,160.8185
120600,3855,87.7917
121200,3867,91.3773
121800,3882,61.9928
122400,3894,92.5487
123000,3906,91.6474
123600,3918,94.2480
124200,3929,99.0007
124800,3943,82.3349
125400,3955,80.1576
126000,3966,98.0285
126600,3978,91.4668
127200,3991,92.5235
127800,4004,82.4660
128400,4017,74.9813
129000,4030,77.5580
129600,4042,83.1624
130000,EVAL,162.1469
130200,4053,91.2093
130800,4065,89.9899
131400,4077,89.1559
132000,4088,90.3086
132600,4101,89.0652
133200,4113,77.1680
133800,4127,75.2056
134400,4141,74.4101
135000,4153,103.0604
135600,4168,70.5280
136200,4180,90.2395
136800,4192,100.1311
137400,4204,83.9002
138000,4215,93.3221
138600,4228,83.9584
139200,4240,103.7917
139800,4252,86.5337
140000,EVAL,110.3895
140400,4264,89.1704
141000,4276,89.6832
141600,4288,90.8930
142200,4300,85.2048
142800,4311,93.6415
143400,4323,98.7187
144000,4334,107.3447
144600,4345,89.8815
145200,4357,90.2189
145800,4370,94.7494
146400,4384,75.6498
147000,4396,85.3925
147600,4411,71.4073
148200,4422,105.4225
148800,4434,85.7973
149400,4446,100.0991
150000,4459,93.8647
150000,EVAL,108.3974
150600,4474,53.6499
151200,4486,91.8991
151800,4497,87.5667
152400,4509,112.8459
153000,4521,79.7605
153600,4532,94.9796
154200,4545,89.5953
154800,4559,64.3181
155400,4573,78.9769
156000,4585,80.0575
156600,4597,95.9141
157200,4608,89.2465
157800,4621,77.3363
158400,4634,89.5123
159000,4646,82.5513
159600,4659,79.0941
160000,EVAL,108.4404
160200,4671,87.2593
160800,4684,74.7440
161400,4695,94.9105
162000,4711,65.7208
162600,4723,94.5752
163200,4737,72.3842
163800,4749,93.0665
164400,4765,66.3323
165000,4777,89.8069
165600,4788,105.1218
166200,4800,84.4483
166800,4811,107.0488
167400,4823,77.9300
168000,4835,86.1796
168600,4847,85.5389
169200,4859,81.6134
169800,4873,74.3269
170000,EVAL,109.7105
170400,4885,85.6348
171000,4898,76.8370
171600,4911,73.9816
172200,4924,81.1652
172800,4936,89.1828
173400,4949,87.2413
174000,4962,85.1765
174600,4975,76.0487
175200,4988,77.3421
175800,5002,75.5917
176400,5014,89.4831
177000,5026,91.9009
177600,5039,92.0745
178200,5051,86.0638
178800,5065,74.1416
179400,5078,81.8813
180000,5091,76.2776
180000,EVAL,67.0108
180600,5104,82.6342
181200,5115,107.2898
181800,5127,93.4757
182400,5140,79.7765
183000,5151,101.2952
183600,5164,84.2209
184200,5178,72.1079
184800,5190,86.7329
185400,5202,88.1607
186000,5214,99.0595
186600,5226,105.3191
187200,5238,92.7536
187800,5250,87.8018
188400,5263,82.0085
189000,5275,96.4692
189600,5287,90.1803
190000,EVAL,107.9006
190200,5299,90.2237
190800,5311,106.6283
191400,5324,84.5331
192000,5337,91.7532
192600,5350,88.3487
193200,5364,78.3247
193800,5376,82.6992
194400,5390,79.2077
195000,5402,91.2963
195600,5413,100.9455
196200,5425,92.4672
196800,5439,87.3980
197400,5450,88.8724
198000,5461,94.2936
198600,5474,77.0500
199200,5486,87.1116
199800,5498,80.9017
200000,EVAL,112.5314
200400,5509,107.1293
201000,5522,87.9704
201600,5535,94.1483
202200,5546,103.2398
202800,5559,82.5144
203400,5569,91.8463
204000,5580,104.2216
204600,5592,87.6161
205200,5604,75.2540
205800,5617,81.5155
206400,5628,98.9622
207000,5639,79.6952
207600,5649,117.6530
208200,5662,83.9858
208800,5672,96.6330
209400,5682,114.1784
210000,5694,99.2511
210000,EVAL,109.7091
210600,5706,89.6624
211200,5716,101.0214
211800,5726,107.4053
212400,5738,89.5538
213000,5750,84.9816
213600,5761,83.8538
214200,5772,87.8964
214800,5782,106.9229
215400,5793,95.0169
216000,5805,89.7438
216600,5817,76.1009
217200,5829,74.1730
217800,5839,97.1389
218400,5850,93.6866
219000,5862,95.2485
219600,5874,110.2416
220000,EVAL,66.9968
220200,5887,93.4208
220800,5898,84.4372
221400,5909,94.4188
222000,5920,92.0793
222600,5931,83.9521
223200,5944,73.4774
223800,5955,87.0043
224400,5965,87.3755
225000,5978,81.3642
225600,5989,93.1655
226200,6000,79.3211
226800,6011,107.3843
227400,6022,76.9903
228000,6034,80.5620
228600,6045,86.0299
229200,6058,72.3982
229800,6068,102.3387
230000,EVAL,57.4840
230400,6080,84.5749
231000,6092,83.4782
231600,6104,96.2022
232200,6115,92.9525
232800,6127,85.5928
233400,6139,95.2743
234000,6151,83.5202
234600,6163,93.1242
