timestep,episode,mean_reward
600,76,0.7588
1200,134,0.9929
1800,189,1.0274
2400,254,0.9146
3000,300,2.7875
3600,339,1.7578
4200,394,1.2127
4800,443,1.1999
5400,484,2.6719
6000,520,3.2464
6600,553,6.4106
7200,592,4.1026
7800,624,6.5573
8400,655,5.8530
9000,693,7.6365
9600,726,5.6600
10000,EVAL,55.7611
10200,760,3.7798
10800,782,11.1096
11400,817,7.9681
12000,841,11.2454
12600,880,5.3281
13200,914,5.3466
13800,942,15.2920
14400,968,11.3555
15000,994,9.5613
15600,1015,13.1343
16200,1043,11.0174
16800,1063,21.8435
17400,1083,33.1915
18000,1103,18.8841
18600,1126,15.5244
19200,1147,16.8370
19800,1175,18.2198
20000,EVAL,69.0843
20400,1191,33.7294
21000,1210,27.2422
21600,1224,36.1178
22200,1242,32.8699
22800,1257,38.3032
23400,1271,35.2099
24000,1288,30.0277
24600,1303,33.3649
25200,1318,43.7772
25800,1331,41.9619
26400,1348,34.4717
27000,1359,52.3656
27600,1373,51.4838
28200,1386,69.8359
28800,1398,47.9954
29400,1412,50.2046
30000,1424,72.9506
30000,EVAL,109.5353
30600,1435,59.6563
31200,1446,69.9035
31800,1456,76.6191
32400,1468,60.5077
33000,1479,58.8715
33600,1490,74.5091
34200,1502,71.1305
34800,1515,55.3754
35400,1529,56.5535
36000,1540,69.0849
36600,1556,49.0504
37200,1569,54.5714
37800,1582,47.7732
38400,1595,79.1672
39000,1606,73.0499
39600,1620,54.6617
40000,EVAL,107.7874
40200,1631,78.9422
40800,1643,62.7805
41400,1656,63.3439
42000,1667,77.8856
42600,1681,61.0280
43200,1697,56.2046
43800,1708,84.0136
44400,1720,76.4221
45000,1732,84.6562
45600,1746,75.6475
46200,1762,54.5682
46800,1780,52.2663
47400,1794,55.6661
48000,1812,55.8268
48600,1824,77.7813
49200,1836,93.0463
49800,1848,82.7085
50000,EVAL,108.1185
50400,1864,67.1615
51000,1879,63.7688
51600,1891,83.7122
52200,1904,86.5319
52800,1915,79.5119
53400,1926,105.6685
54000,1939,72.9558
54600,1950,93.2196
55200,1961,97.5800
55800,1972,88.2138
56400,1984,69.0762
57000,1996,81.0282
57600,2008,86.5622
58200,2019,95.8510
58800,2032,78.0190
59400,2043,96.8153
60000,2053,102.4680
60000,EVAL,109.4634
60600,2064,93.0742
61200,2075,104.8224
61800,2086,91.5138
62400,2097,103.3417
63000,2110,80.5175
63600,2122,89.8505
64200,2137,63.0224
64800,2148,92.9274
65400,2160,90.9092
66000,2171,92.6721
66600,2183,80.2592
67200,2193,106.6756
67800,2205,86.6487
68400,2216,101.8943
69000,2226,100.8329
69600,2239,93.4844
70000,EVAL,108.4155
70200,2251,81.7716
70800,2263,88.1537
71400,2278,61.5583
72000,2290,80.4509
72600,2300,106.0508
73200,2311,91.8284
73800,2325,72.5408
74400,2338,78.2329
75000,2349,100.6283
75600,2361,93.2554
76200,2372,97.4453
76800,2384,100.3115
77400,2395,91.3284
78000,2407,79.9145
78600,2419,84.5810
79200,2430,94.9228
79800,2442,98.0952
80000,EVAL,108.8029
80400,2452,96.7446
81000,2464,86.1600
81600,2474,110.3740
82200,2486,96.4216
82800,2497,92.4249
83400,2510,87.0524
84000,2521,96.5828
84600,2532,98.2303
85200,2543,97.3837
85800,2553,111.1044
86400,2565,89.0522
87000,2579,69.6545
87600,2590,101.9842
88200,2600,102.2917
88800,2612,89.8710
89400,2621,111.5647
90000,2632,108.0007
90000,EVAL,108.7477
90600,2643,93.6615
91200,2654,102.1227
91800,2665,91.1646
92400,2676,101.3442
