timestep,episode,mean_reward
600,48,1.2316
1200,81,1.7146
1800,113,1.8735
2400,160,1.3459
3000,204,1.5282
3600,238,1.7686
4200,274,1.6725
4800,311,1.6213
5400,338,2.2619
6000,368,1.9509
6600,394,2.3199
7200,429,1.6218
7800,455,2.7450
8400,480,2.3869
9000,508,2.1678
9600,539,1.8352
10000,EVAL,3.5782
10200,564,2.4453
10800,586,2.7147
11400,611,2.4026
12000,639,2.8408
12600,665,2.3416
13200,684,3.9568
13800,702,4.9478
14400,722,5.6522
15000,738,11.5401
15600,754,12.4603
16200,769,7.0629
16800,781,18.6873
17400,801,8.0570
18000,815,16.5291
18600,833,7.2715
19200,849,15.6978
19800,867,8.3147
20000,EVAL,0.1681
20400,880,14.7494
21000,897,9.5434
21600,914,15.8723
22200,930,12.5071
22800,946,17.1458
23400,956,12.4974
24000,973,14.5076
24600,993,12.8402
25200,1007,14.4151
25800,1023,16.8428
26400,1034,20.8437
27000,1047,30.6812
27600,1064,21.4175
28200,1080,21.8200
28800,1094,28.0963
29400,1112,15.8633
30000,1121,41.4815
30000,EVAL,57.3582
30600,1136,25.1641
31200,1154,15.7601
31800,1171,19.9586
32400,1180,46.4692
33000,1193,19.3377
33600,1202,41.7762
34200,1214,36.6457
34800,1225,34.0757
35400,1236,38.0793
36000,1248,35.8609
36600,1261,18.6963
37200,1273,40.4437
37800,1284,34.3660
38400,1293,54.1852
39000,1301,53.7533
39600,1309,54.0919
40000,EVAL,14.6547
40200,1326,19.7507
40800,1338,34.1346
41400,1353,21.2483
42000,1361,52.5817
42600,1375,29.7090
43200,1383,56.5717
43800,1391,59.3837
44400,1400,44.9226
45000,1409,50.8361
45600,1417,55.0010
46200,1427,52.0380
46800,1434,69.1639
47400,1442,66.9914
48000,1450,65.2009
48600,1460,39.4040
49200,1469,44.4575
49800,1478,58.3723
50000,EVAL,68.7845
50400,1489,51.3249
51000,1500,33.3055
51600,1510,35.7015
52200,1517,78.4020
52800,1525,63.7877
53400,1533,65.5746
54000,1541,73.7926
54600,1550,51.1012
55200,1560,58.1130
55800,1568,56.8415
56400,1579,37.8583
57000,1587,67.2609
57600,1595,83.2525
58200,1603,66.4529
58800,1610,63.9945
59400,1619,58.5898
60000,1627,72.8615
60000,EVAL,68.4703
60600,1637,59.5303
61200,1646,61.5773
61800,1654,61.9131
62400,1663,67.1223
63000,1670,84.4679
63600,1677,78.2832
64200,1685,74.3085
64800,1697,50.4130
65400,1705,69.0862
66000,1714,56.2631
66600,1722,67.4686
67200,1732,67.9994
67800,1738,66.1120
68400,1747,60.6611
69000,1756,57.5369
69600,1763,77.8978
70000,EVAL,111.1222
70200,1771,81.5405
70800,1780,57.1453
71400,1788,70.9334
72000,1797,61.4492
72600,1806,56.5225
73200,1821,33.3745
73800,1827,96.5652
74400,1834,70.1689
75000,1844,62.5985
75600,1851,84.1642
76200,1859,66.4273
76800,1865,72.8304
77400,1872,84.3898
78000,1881,78.6347
78600,1891,60.2146
79200,1899,101.3681
79800,1906,78.6477
80000,EVAL,110.7987
80400,1914,63.4400
81000,1922,68.9485
81600,1930,75.1590
82200,1940,56.6413
82800,1950,50.0102
83400,1960,60.8985
84000,1970,42.3197
84600,1977,84.4343
85200,1985,79.6994
85800,1993,94.8460
86400,1999,71.6050
87000,2010,53.5500
87600,2016,108.1150
88200,2022,89.0700
88800,2030,74.7415
89400,2037,87.2014
90000,2044,75.4546
90000,EVAL,60.6771
90600,2051,85.7910
91200,2057,91.4948
91800,2067,60.0268
92400,2073,80.5162
93000,2085,54.6871
93600,2091,106.6112
94200,2099,88.9309
94800,2106,93.1378
95400,2113,91.8871
96000,2119,85.0232
96600,2126,71.1436
97200,2135,59.0427
97800,2147,48.2274
98400,2158,50.6330
99000,2164,83.9616
99600,2171,69.4250
100000,EVAL,71.0681
100200,2180,68.0331
100800,2186,106.9863
101400,2195,70.7613
102000,2203,81.0339
102600,2210,79.6399
103200,2217,93.9677
103800,2227,52.1777
104400,2234,76.5341
105000,2246,47.8404
105600,2254,80.3770
106200,2262,92.7539
106800,2269,76.1794
107400,2280,56.0268
108000,2288,82.3027
108600,2295,79.5122
109200,2302,85.5853
109800,2310,86.8263
110000,EVAL,111.8003
110400,2318,76.3331
111000,2324,96.7611
111600,2331,80.8420
112200,2338,70.2798
112800,2347,83.5592
113400,2354,71.8390
114000,2361,92.9802
114600,2368,86.5707
115200,2377,77.1819
115800,2385,101.0004
116400,2397,53.1952
117000,2407,69.7109
117600,2415,80.3040
118200,2421,114.9197
118800,2429,90.4749
119400,2438,79.0421
120000,2445,98.9625
120000,EVAL,111.8904
120600,2452,92.1862
121200,2461,63.6809
121800,2467,99.7642
122400,2475,96.1955
123000,2482,88.4352
123600,2489,85.2570
124200,2498,71.7270
124800,2504,96.8016
125400,2513,73.9234
126000,2520,84.2892
126600,2527,94.2678
127200,2536,65.7705
127800,2544,77.0453
128400,2555,68.9909
129000,2563,75.8103
129600,2570,98.4738
130000,EVAL,111.1511
130200,2578,74.7557
130800,2585,84.6276
131400,2592,78.5320
132000,2598,100.0026
132600,2604,101.1936
133200,2611,95.7234
133800,2619,102.6844
134400,2627,82.4450
135000,2634,79.9777
135600,2643,84.8683
136200,2650,92.4911
136800,2656,91.6401
137400,2662,93.2781
138000,2670,72.8251
138600,2677,87.7516
139200,2684,101.4572
139800,2691,94.5127
140000,EVAL,163.9207
140400,2703,60.6946
141000,2708,109.2750
141600,2715,122.3000
142200,2723,64.3660
142800,2730,87.0445
143400,2737,86.5823
144000,2744,92.3289
144600,2751,102.8971
145200,2757,101.0913
145800,2767,66.1902
146400,2774,87.9856
147000,2781,100.3816
147600,2788,83.8405
148200,2797,79.1837
148800,2804,90.7398
149400,2811,102.3426
150000,2819,81.9350
150000,EVAL,123.1368
150600,2827,69.0242
151200,2834,117.0048
151800,2841,71.4002
152400,2850,79.0927
153000,2857,94.5219
153600,2864,82.4552
154200,2870,118.5793
154800,2876,90.1258
155400,2883,87.8214
156000,2892,92.6583
156600,2898,107.5886
157200,2906,88.8695
157800,2913,116.6853
158400,2919,82.7887
159000,2928,80.5646
159600,2935,86.4960
160000,EVAL,115.3304
160200,2942,76.6940
160800,2950,108.9166
161400,2955,108.4617
162000,2963,94.2119
162600,2968,118.4743
163200,2974,100.8843
163800,2980,65.1220
164400,2987,107.9461
165000,2993,91.0044
165600,3000,77.4007
166200,3006,112.2722
166800,3012,108.4196
167400,3018,115.4994
168000,3024,92.7498
168600,3035,59.3396
169200,3041,108.5896
169800,3047,100.7035
170000,EVAL,70.8667
170400,3052,107.2573
171000,3059,79.7710
171600,3066,103.3842
172200,3071,76.2134
172800,3077,100.7511
173400,3083,101.1731
174000,3090,109.2888
174600,3095,98.9724
175200,3102,109.4729
175800,3107,119.3043
176400,3116,59.8559
177000,3123,97.0581
177600,3131,53.6786
178200,3138,106.9920
178800,3144,132.9679
179400,3149,125.2975
180000,3159,48.9221
180000,EVAL,69.4406
180600,3165,117.0918
181200,3172,95.1377
181800,3177,122.2653
182400,3185,88.7348
183000,3191,83.0876
183600,3198,92.5597
184200,3204,91.5527
184800,3210,92.5158
185400,3216,118.1920
186000,3223,92.2065
186600,3230,92.3932
187200,3237,109.1116
187800,3244,84.7540
188400,3250,108.1715
189000,3258,84.5974
189600,3265,106.9917
190000,EVAL,165.3588
190200,3276,54.6221
190800,3282,117.0895
191400,3288,91.0165
192000,3295,81.9155
192600,3302,100.6932
193200,3309,111.7822
193800,3315,104.6405
194400,3322,94.8701
195000,3328,84.0732
195600,3334,120.2238
196200,3342,86.7655
196800,3350,88.7961
197400,3358,87.8309
198000,3364,99.5557
198600,3371,94.7307
199200,3378,99.6431
199800,3386,81.8279
200000,EVAL,111.2660
200400,3393,100.4584
201000,3399,87.5424
201600,3406,87.0506
202200,3413,88.0544
202800,3419,90.7374
203400,3425,108.6005
204000,3432,105.6814
204600,3440,85.4234
205200,3449,51.6334
205800,3457,58.5376
206400,3463,99.8570
207000,3470,89.2487
207600,3478,81.5460
208200,3485,100.9488
208800,3493,95.2519
209400,3500,96.6702
210000,3506,106.8157
210000,EVAL,125.8339
210600,3514,101.6577
211200,3520,89.2794
211800,3527,92.5397
212400,3533,115.3697
213000,3539,108.3630
213600,3546,95.0680
214200,3553,93.0057
214800,3561,79.5147
215400,3567,111.3232
216000,3576,83.0184
216600,3582,94.2236
217200,3588,103.5766
217800,3595,83.7966
218400,3601,98.4261
219000,3608,93.4163
219600,3613,107.9383
220000,EVAL,114.2961
220200,3621,99.0537
220800,3628,94.6151
221400,3634,108.9586
222000,3641,109.4594
222600,3647,101.5126
223200,3653,117.1446
223800,3660,72.1518
224400,3667,116.5084
225000,3672,116.4362
225600,3679,108.7892
226200,3686,93.1421
226800,3692,94.3449
227400,3698,90.8560
228000,3705,104.9829
228600,3711,118.0915
229200,3718,100.4742
229800,3724,103.9257
230000,EVAL,113.7029
230400,3731,77.7374
231000,3737,109.7104
231600,3743,126.5181
232200,3750,85.3356
232800,3755,128.2239
233400,3762,103.6591
234000,3768,108.5255
234600,3775,86.1218
235200,3782,110.7568
235800,3788,117.6799
236400,3794,92.7273
237000,3800,108.0682
237600,3806,115.9149
238200,3813,77.9835
238800,3819,109.5089
239400,3825,116.5915
240000,3832,102.1404
240000,EVAL,71.6930
240600,3838,97.6239
241200,3844,85.3070
241800,3850,106.8538
242400,3856,88.5751
