timestep,episode,mean_reward
1500,103,2.8064
3000,182,3.5067
4500,244,4.4047
6000,285,6.7077
7500,318,11.4462
9000,339,17.8611
10500,358,25.4452
12000,374,28.5722
13500,391,34.8930
15000,408,33.7812
16500,425,33.3361
18000,443,31.5197
19500,459,35.6290
21000,477,34.6463
22500,492,38.5682
24000,503,42.0766
25500,512,47.9929
27000,523,42.1247
28500,533,45.4613
30000,541,56.9351
31500,551,46.0825
33000,559,50.7967
34500,566,58.6978
36000,573,65.1183
37500,580,62.5679
39000,587,62.1835
40500,593,66.9182
42000,601,55.4675
43500,615,42.5960
45000,623,57.1729
46500,632,58.3562
48000,640,58.6733
49500,646,77.0311
51000,652,70.7039
52500,658,71.4142
54000,665,67.7692
55500,671,69.0189
57000,678,57.9991
58500,684,79.4102
60000,690,54.9814
61500,696,76.1588
63000,702,75.1837
64500,709,67.5020
66000,715,79.2533
67500,721,79.5988
69000,731,52.6094
70500,736,75.2932
72000,745,50.2225
73500,751,85.2536
75000,757,56.0298
76500,765,63.6203
78000,770,83.6097
79500,776,60.0922
81000,782,71.7841
82500,788,76.5594
84000,794,78.6559
85500,800,68.6695
87000,807,66.3270
88500,813,61.2451
90000,818,86.7503
91500,825,66.0710
93000,832,64.4823
94500,838,74.5199
96000,845,67.0502
97500,850,65.7092
99000,857,75.0338
100500,863,79.1089
102000,870,68.2828
103500,877,64.3369
105000,882,79.3264
106500,888,82.6636
108000,895,63.8043
109500,904,51.1257
111000,912,64.4846
112500,921,53.4916
114000,928,63.6738
115500,936,57.2736
117000,943,67.7931
118500,952,54.2429
120000,961,54.0827
121500,971,39.7650
123000,977,65.2925
124500,985,62.8336
126000,991,73.7813
127500,998,65.2999
129000,1004,73.6060
130500,1010,67.3534
132000,1016,80.1476
133500,1021,79.1002
135000,1027,75.4333
136500,1033,76.5621
138000,1038,73.3419
139500,1044,83.1649
141000,1050,74.6235
142500,1057,65.9431
144000,1063,74.3605
145500,1069,62.0329
147000,1075,77.1822
148500,1083,61.6960
150000,1089,64.3785
151500,1098,57.6985
153000,1105,63.5761
154500,1111,72.4298
156000,1117,66.1517
157500,1125,54.8892
159000,1131,81.7674
160500,1137,75.4528
162000,1144,72.6446
163500,1151,69.8401
165000,1159,57.1694
166500,1164,91.0758
168000,1170,72.2363
169500,1177,66.5776
171000,1184,67.3167
172500,1189,85.2197
174000,1197,56.4600
175500,1207,53.3202
177000,1214,63.3544
178500,1221,61.6481
180000,1228,63.3419
181500,1235,67.8089
183000,1240,68.8767
184500,1247,72.0709
186000,1252,70.2079
187500,1261,56.8026
189000,1267,73.2863
190500,1272,79.3535
192000,1279,63.0399
193500,1285,72.4938
195000,1291,82.0031
196500,1298,65.6518
198000,1305,57.6967
199500,1311,79.5130
201000,1318,70.1866
202500,1325,65.1670
204000,1331,70.3597
205500,1338,65.1882
207000,1344,63.1210
208500,1350,77.9807
210000,1355,83.2673
211500,1360,76.7847
213000,1366,78.7428
214500,1373,66.5325
216000,1380,61.1279
217500,1386,71.9693
219000,1391,86.5197
220500,1397,71.0812
222000,1404,63.6620
223500,1410,71.9205
225000,1416,77.6766
226500,1424,60.8356
228000,1431,64.7299
229500,1437,71.3457
231000,1444,62.5708
232500,1450,78.9042
234000,1456,76.0793
235500,1463,68.3883
237000,1468,86.7264
238500,1474,76.8677
240000,1480,70.6593
241500,1487,75.0238
243000,1494,70.2064
244500,1499,86.7247
246000,1506,76.4065
247500,1511,86.3288
249000,1519,60.9674
250500,1526,71.3350
252000,1533,67.7030
253500,1539,79.4055
255000,1546,76.9445
256500,1551,82.3546
258000,1557,86.3092
259500,1563,69.2279
261000,1571,65.5869
262500,1576,83.9658
264000,1582,87.7648
265500,1587,87.0241
267000,1593,75.6083
268500,1599,79.5132
270000,1604,90.1087
271500,1610,79.8399
273000,1616,76.9408
274500,1621,77.9146
276000,1627,79.3783
277500,1632,90.0707
279000,1638,80.4880
280500,1643,85.9330
282000,1649,82.2581
283500,1655,72.2473
285000,1662,70.7302
286500,1668,65.3210
288000,1676,64.7399
289500,1682,79.7345
291000,1687,80.4129
292500,1693,73.7173
294000,1698,88.1059
295500,1704,80.8081
297000,1711,71.8553
298500,1716,90.4389
300000,1722,72.2942
301500,1731,53.5600
303000,1739,59.4987
304500,1751,47.2978
306000,1757,71.8258
307500,1764,74.4099
309000,1772,59.3763
310500,1777,86.0136
312000,1784,65.9545
313500,1789,86.0016
315000,1794,80.3684
316500,1799,87.1601
318000,1805,75.2354
319500,1810,82.1928
321000,1816,74.1889
322500,1824,58.2366
324000,1829,79.0074
325500,1835,76.0841
327000,1842,58.4094
328500,1848,74.6262
330000,1855,66.3139
331500,1860,83.3613
333000,1865,77.3376
334500,1870,83.9817
336000,1875,81.8769
337500,1881,71.1855
339000,1887,80.0665
340500,1892,76.1313
342000,1899,72.2240
343500,1905,72.9740
345000,1910,78.9530
346500,1918,65.0280
348000,1925,62.9361
349500,1931,74.0396
351000,1939,57.2413
352500,1946,64.8168
354000,1952,79.8525
355500,1958,72.7652
357000,1964,77.6977
358500,1969,79.1173
360000,1977,63.7432
361500,1984,67.6106
363000,1994,47.6508
364500,2001,69.7825
366000,2008,67.8543
367500,2015,63.7286
369000,2021,78.3004
370500,2030,51.7667
372000,2036,70.6363
373500,2042,75.5148
375000,2047,81.6126
376500,2053,78.7616
378000,2060,60.6850
379500,2065,78.9930
381000,2072,66.1751
382500,2079,66.8940
384000,2087,63.3110
385500,2092,73.3323
387000,2100,63.4111
388500,2105,88.0423
390000,2113,55.7677
391500,2121,57.9512
393000,2127,71.6559
394500,2136,53.3186
396000,2143,65.1107
397500,2151,55.3063
399000,2162,48.4791
400500,2170,55.7723
402000,2178,58.4509
403500,2185,62.7155
405000,2191,68.0875
406500,2198,58.9479
