timestep,episode,mean_reward
1500,90,3.1004
3000,159,4.1457
4500,213,5.2078
6000,250,8.0462
7500,273,15.3551
9000,295,19.2357
10500,314,26.0672
12000,328,34.1269
13500,345,32.3578
15000,363,34.1201
16500,377,36.9307
18000,392,36.6186
19500,408,34.0597
21000,424,33.5960
22500,439,36.2712
24000,450,44.3012
25500,465,37.8004
27000,476,44.6821
28500,489,38.8524
30000,500,44.1714
31500,515,38.8619
33000,527,41.6740
34500,536,44.8486
36000,546,50.2200
37500,555,50.4231
39000,564,50.7875
40500,575,43.7388
42000,587,42.6647
43500,595,57.6457
45000,606,47.4980
46500,612,73.6655
48000,618,72.2940
49500,624,75.8777
51000,631,60.8011
52500,638,68.0841
54000,644,71.5179
55500,650,73.8110
57000,657,69.3088
58500,665,59.0343
60000,674,55.7400
61500,682,62.7261
63000,689,60.5198
64500,696,69.2918
66000,702,71.9696
67500,709,63.9826
69000,716,61.6073
70500,724,60.7880
72000,731,76.8642
73500,737,74.9962
75000,744,59.9239
76500,753,63.0766
78000,761,58.9233
79500,768,60.3312
81000,775,74.9952
82500,781,70.7166
84000,787,71.7584
85500,793,79.8456
87000,800,68.1428
88500,806,77.0537
90000,812,75.6522
91500,817,82.6263
93000,822,83.7881
94500,829,69.9135
96000,837,63.8634
97500,843,79.4589
99000,851,64.1469
100500,859,64.5752
102000,866,69.6410
103500,874,59.0396
105000,882,62.3313
106500,891,56.4862
108000,904,45.0244
109500,912,65.3676
111000,921,55.1980
112500,932,49.1051
114000,941,57.5126
115500,948,64.4340
117000,955,63.9154
